zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
1468,4021,277,261,285,273,189,109,74
1469,6801,469,442,483,462,320,184,126
1473,7277,502,473,517,495,342,196,135
1474,2125,147,138,151,145,100,57,39
1475,10270,709,668,729,698,483,277,190
1501,16075,1109,1045,1141,1093,756,434,297
1503,2866,198,186,203,195,135,77,53
1504,9026,623,587,641,614,424,244,167
1505,4355,300,283,309,296,205,118,81
1506,3390,234,220,241,231,159,92,63
1507,12981,896,844,922,883,610,350,240
1510,13606,939,884,966,925,639,367,252
1515,2183,151,142,155,148,103,59,40
1516,8500,587,553,604,578,400,230,157
1518,2974,205,193,211,202,140,80,55
1519,6595,455,429,468,448,310,178,122
1520,13997,966,910,994,952,658,378,259
1521,2481,171,161,176,169,117,67,46
1522,3310,228,215,235,225,156,89,61
1523,7582,523,493,538,516,356,205,140
1524,6696,462,435,475,455,315,181,124
1525,290,20,19,21,20,14,8,5
1527,13246,914,861,940,901,623,358,245
1529,3190,220,207,226,217,150,86,59
1531,999,69,65,71,68,47,27,18
1532,14155,977,920,1005,963,665,382,262
1534,5631,389,366,400,383,265,152,104
1535,4680,323,304,332,318,220,126,87
1536,6888,475,448,489,468,324,186,127
1537,2248,155,146,160,153,106,61,42
1540,11291,779,734,802,768,531,305,209
1541,3413,235,222,242,232,160,92,63
1542,2202,152,143,156,150,103,59,41
1543,7973,550,518,566,542,375,215,148
1545,35299,2436,2294,2506,2400,1659,953,653
1550,16719,1154,1087,1187,1137,786,451,309
1560,4527,312,294,321,308,213,122,84
1561,330,23,21,23,22,16,9,6
1562,11688,806,760,830,795,549,316,216
1564,7808,539,508,554,531,367,211,144
1566,6294,434,409,447,428,296,170,116
1568,7480,516,486,531,509,352,202,138
1569,13569,936,882,963,923,638,366,251
1570,16767,1157,1090,1190,1140,788,453,310
1571,11390,786,740,809,775,535,308,211
1581,18272,1261,1188,1297,1242,859,493,338
1583,7591,524,493,539,516,357,205,140
1585,4554,314,296,323,310,214,123,84
1588,9733,672,633,691,662,457,263,180
1590,8875,612,577,630,604,417,240,164
1602,22819,1575,1483,1620,1552,1072,616,422
1603,19916,1374,1295,1414,1354,936,538,368
1604,34677,2393,2254,2462,2358,1630,936,642
1605,26221,1809,1704,1862,1783,1232,708,485
1606,19077,1316,1240,1354,1297,897,515,353
1607,8351,576,543,593,568,392,225,154
1608,3888,268,253,276,264,183,105,72
1609,22421,1547,1457,1592,1525,1054,605,415
1610,23945,1652,1556,1700,1628,1125,647,443
1611,2242,155,146,159,152,105,61,41
1612,4845,334,315,344,329,228,131,90
1701,31217,2154,2029,2216,2123,1467,843,578
1702,37206,2567,2418,2642,2530,1749,1005,688
1718,469,32,30,33,32,22,13,9
1719,4996,345,325,355,340,235,135,92
1720,21361,1474,1388,1517,1453,1004,577,395
1721,16593,1145,1079,1178,1128,780,448,307
1730,13221,912,859,939,899,621,357,245
1731,1396,96,91,99,95,66,38,26
1740,4897,338,318,348,333,230,132,91
1741,4852,335,315,344,330,228,131,90
1742,17726,1223,1152,1259,1205,833,479,328
1745,397,27,26,28,27,19,11,7
1746,13547,935,881,962,921,637,366,251
1747,5911,408,384,420,402,278,160,109
1748,14925,1030,970,1060,1015,701,403,276
1749,19063,1315,1239,1353,1296,896,515,353
1752,38499,2656,2502,2733,2618,1809,1039,712
1754,10106,697,657,718,687,475,273,187
1756,5839,403,380,415,397,274,158,108
1757,28061,1936,1824,1992,1908,1319,758,519
1760,32786,2262,2131,2328,2229,1541,885,607
1770,4119,284,268,292,280,194,111,76
1772,9370,647,609,665,637,440,253,173
1773,5112,353,332,363,348,240,138,95
1775,6590,455,428,468,448,310,178,122
1776,17659,1218,1148,1254,1201,830,477,327
1778,13109,905,852,931,891,616,354,243
1801,38903,2684,2529,2762,2645,1828,1050,720
1803,24487,1690,1592,1739,1665,1151,661,453
1810,33201,2291,2158,2357,2258,1560,896,614
1821,30310,2091,1970,2152,2061,1425,818,561
1824,24911,1719,1619,1769,1694,1171,673,461
1826,29422,2030,1912,2089,2001,1383,794,544
1827,3179,219,207,226,216,149,86,59
1830,25137,1734,1634,1785,1709,1181,679,465
1832,22060,1522,1434,1566,1500,1037,596,408
1833,8183,565,532,581,556,385,221,151
1834,6459,446,420,459,439,304,174,119
1835,13682,944,889,971,930,643,369,253
1840,4733,327,308,336,322,222,128,88
1841,47225,3259,3070,3353,3211,2220,1275,874
1843,24425,1685,1588,1734,1661,1148,659,452
1844,47249,3260,3071,3355,3213,2221,1276,874
1845,28352,1956,1843,2013,1928,1333,766,525
1850,15237,1051,990,1082,1036,716,411,282
1851,30190,2083,1962,2143,2053,1419,815,559
1852,33508,2312,2178,2379,2279,1575,905,620
1854,27606,1905,1794,1960,1877,1297,745,511
1860,6338,437,412,450,431,298,171,117
1862,10227,706,665,726,695,481,276,189
1863,8891,613,578,631,605,418,240,164
1864,14892,1028,968,1057,1013,700,402,276
1867,23956,1653,1557,1701,1629,1126,647,443
1876,28667,1978,1863,2035,1949,1347,774,530
1879,11305,780,735,803,769,531,305,209
1880,24733,1707,1608,1756,1682,1162,668,458
1886,21951,1515,1427,1559,1493,1032,593,406
1887,22325,1540,1451,1585,1518,1049,603,413
1890,21382,1475,1390,1518,1454,1005,577,396
1901,1689,117,110,120,115,79,46,31
1902,45139,3115,2934,3205,3069,2122,1219,835
1904,18203,1256,1183,1292,1238,856,491,337
1905,25251,1742,1641,1793,1717,1187,682,467
1906,26660,1840,1733,1893,1813,1253,720,493
1907,14027,968,912,996,954,659,379,259
1908,3410,235,222,242,232,160,92,63
1913,16283,1124,1058,1156,1107,765,440,301
1915,39502,2726,2568,2805,2686,1857,1067,731
1921,7961,549,517,565,541,374,215,147
1922,3108,214,202,221,211,146,84,57
1923,26342,1818,1712,1870,1791,1238,711,487
1929,3504,242,228,249,238,165,95,65
1930,28789,1986,1871,2044,1958,1353,777,533
1937,151,10,10,11,10,7,4,3
1938,13175,909,856,935,896,619,356,244
1940,12108,835,787,860,823,569,327,224
1944,5136,354,334,365,349,241,139,95
1945,19808,1367,1288,1406,1347,931,535,366
1949,8987,620,584,638,611,422,243,166
1950,17416,1202,1132,1237,1184,819,470,322
1951,3558,246,231,253,242,167,96,66
1952,8283,572,538,588,563,389,224,153
1960,50944,3515,3311,3617,3464,2394,1375,942
1966,6952,480,452,494,473,327,188,129
1969,5856,404,381,416,398,275,158,108
1970,41109,2837,2672,2919,2795,1932,1110,761
1982,7764,536,505,551,528,365,210,144
1983,6089,420,396,432,414,286,164,113
1984,4875,336,317,346,332,229,132,90
1985,4235,292,275,301,288,199,114,78
2019,16332,1127,1062,1160,1111,768,441,302
2021,21561,1488,1401,1531,1466,1013,582,399
2025,7542,520,490,535,513,354,204,140
2026,24711,1705,1606,1754,1680,1161,667,457
2030,5589,386,363,397,380,263,151,103
2032,4226,292,275,300,287,199,114,78
2035,16865,1164,1096,1197,1147,793,455,312
2038,31635,2183,2056,2246,2151,1487,854,585
2043,22157,1529,1440,1573,1507,1041,598,410
2045,10293,710,669,731,700,484,278,190
2047,180,12,12,13,12,8,5,3
2048,23184,1600,1507,1646,1577,1090,626,429
2050,25429,1755,1653,1805,1729,1195,687,470
2052,12024,830,782,854,818,565,325,222
2053,12752,880,829,905,867,599,344,236
2054,7891,544,513,560,537,371,213,146
