zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
22066,18099,1249,1176,1285,1231,851,489,335
22079,32059,2212,2084,2276,2180,1507,866,593
22101,29887,2062,1943,2122,2032,1405,807,553
22102,21985,1517,1429,1561,1495,1033,594,407
22124,17558,1212,1141,1247,1194,825,474,325
22125,711,49,46,50,48,33,19,13
22134,6862,473,446,487,467,323,185,127
22150,27105,1870,1762,1924,1843,1274,732,501
22151,17456,1204,1135,1239,1187,820,471,323
22152,28550,1970,1856,2027,1941,1342,771,528
22153,31285,2159,2034,2221,2127,1470,845,579
22172,8699,600,565,618,592,409,235,161
22180,23491,1621,1527,1668,1597,1104,634,435
22181,14879,1027,967,1056,1012,699,402,275
22182,24863,1716,1616,1765,1691,1169,671,460
22185,0,0,0,0,0,0,0,0
22191,57598,3974,3744,4089,3917,2707,1555,1066
22192,53394,3684,3471,3791,3631,2510,1442,988
22193,73047,5040,4748,5186,4967,3433,1972,1351
22201,33476,2310,2176,2377,2276,1573,904,619
22202,22543,1555,1465,1601,1533,1060,609,417
22203,21850,1508,1420,1551,1486,1027,590,404
22204,47233,3259,3070,3354,3212,2220,1275,874
22205,17087,1179,1111,1213,1162,803,461,316
22206,19051,1315,1238,1353,1295,895,514,352
22207,30920,2133,2010,2195,2103,1453,835,572
22209,12314,850,800,874,837,579,332,228
22211,648,45,42,46,44,30,17,12
22213,2936,203,191,208,200,138,79,54
22214,0,0,0,0,0,0,0,0
22301,11162,770,726,793,759,525,301,206
22302,16485,1137,1072,1170,1121,775,445,305
22303,12601,869,819,895,857,592,340,233
22304,44300,3057,2880,3145,3012,2082,1196,820
22305,15440,1065,1004,1096,1050,726,417,286
22306,32326,2230,2101,2295,2198,1519,873,598
22307,9581,661,623,680,652,450,259,177
22308,12737,879,828,904,866,599,344,236
22309,33220,2292,2159,2359,2259,1561,897,615
22310,29609,2043,1925,2102,2013,1392,799,548
22311,17560,1212,1141,1247,1194,825,474,325
22312,30614,2112,1990,2174,2082,1439,827,566
22314,29653,2046,1927,2105,2016,1394,801,549
22315,26202,1808,1703,1860,1782,1231,707,485
22401,24286,1676,1579,1724,1651,1141,656,449
22405,29152,2011,1895,2070,1982,1370,787,539
22406,20757,1432,1349,1474,1411,976,560,384
22407,54962,3792,3573,3902,3737,2583,1484,1017
22408,26851,1853,1745,1906,1826,1262,725,497
22427,3286,227,214,233,223,154,89,61
22432,394,27,26,28,27,19,11,7
22433,232,16,15,16,16,11,6,4
22435,2439,168,159,173,166,115,66,45
22436,746,51,48,53,51,35,20,14
22437,725,50,47,51,49,34,20,13
22438,463,32,30,33,31,22,13,9
22443,8083,558,525,574,550,380,218,150
22448,599,41,39,43,41,28,16,11
22454,1796,124,117,128,122,84,48,33
22460,1876,129,122,133,128,88,51,35
22469,1921,133,125,136,131,90,52,36
22473,5099,352,331,362,347,240,138,94
22476,369,25,24,26,25,17,10,7
22480,714,49,46,51,49,34,19,13
22482,2993,207,195,213,204,141,81,55
22485,23004,1587,1495,1633,1564,1081,621,426
22488,1398,96,91,99,95,66,38,26
22503,4334,299,282,308,295,204,117,80
22504,263,18,17,19,18,12,7,5
22508,12696,876,825,901,863,597,343,235
22509,31,2,2,2,2,1,1,1
22511,1240,86,81,88,84,58,33,23
22514,2603,180,169,185,177,122,70,48
22520,5402,373,351,384,367,254,146,100
22529,335,23,22,24,23,16,9,6
22530,126,9,8,9,9,6,3,2
22534,2796,193,182,199,190,131,75,52
22535,580,40,38,41,39,27,16,11
22538,307,21,20,22,21,14,8,6
22539,2063,142,134,146,140,97,56,38
22542,1950,135,127,138,133,92,53,36
22546,15850,1094,1030,1125,1078,745,428,293
22548,73,5,5,5,5,3,2,1
22551,19242,1328,1251,1366,1308,904,520,356
22553,13935,962,906,989,948,655,376,258
22554,51463,3551,3345,3654,3499,2419,1390,952
22556,25675,1772,1669,1823,1746,1207,693,475
22560,6704,463,436,476,456,315,181,124
22567,3163,218,206,225,215,149,85,59
22572,7470,515,486,530,508,351,202,138
22576,1785,123,116,127,121,84,48,33
22578,2510,173,163,178,171,118,68,46
22579,155,11,10,11,11,7,4,3
22580,5160,356,335,366,351,243,139,95
22601,27813,1919,1808,1975,1891,1307,751,515
22602,28443,1963,1849,2019,1934,1337,768,526
22603,13910,960,904,988,946,654,376,257
22610,1842,127,120,131,125,87,50,34
22611,8757,604,569,622,595,412,236,162
22620,2348,162,153,167,160,110,63,43
22623,670,46,44,48,46,31,18,12
22624,2565,177,167,182,174,121,69,47
22625,3641,251,237,259,248,171,98,67
22627,637,44,41,45,43,30,17,12
22630,30292,2090,1969,2151,2060,1424,818,560
22637,1970,136,128,140,134,93,53,36
22639,560,39,36,40,38,26,15,10
22640,532,37,35,38,36,25,14,10
22641,361,25,23,26,25,17,10,7
22642,4414,305,287,313,300,207,119,82
22643,197,14,13,14,13,9,5,4
22644,2177,150,142,155,148,102,59,40
22645,3880,268,252,275,264,182,105,72
22646,205,14,13,15,14,10,6,4
22650,978,67,64,69,67,46,26,18
22652,1399,97,91,99,95,66,38,26
22654,640,44,42,45,44,30,17,12
22655,19328,1334,1256,1372,1314,908,522,358
22656,2381,164,155,169,162,112,64,44
22657,10956,756,712,778,745,515,296,203
22660,1689,117,110,120,115,79,46,31
22663,1536,106,100,109,104,72,41,28
22664,8753,604,569,621,595,411,236,162
22701,31444,2170,2044,2233,2138,1478,849,582
22709,874,60,57,62,59,41,24,16
22711,92,6,6,7,6,4,2,2
22712,8415,581,547,597,572,396,227,156
22713,1406,97,91,100,96,66,38,26
22714,1129,78,73,80,77,53,30,21
22715,1082,75,70,77,74,51,29,20
22716,853,59,55,61,58,40,23,16
22718,534,37,35,38,36,25,14,10
22719,395,27,26,28,27,19,11,7
22720,1059,73,69,75,72,50,29,20
22722,273,19,18,19,19,13,7,5
22723,128,9,8,9,9,6,3,2
22724,2282,157,148,162,155,107,62,42
22726,776,54,50,55,53,36,21,14
22727,5547,383,361,394,377,261,150,103
22728,3310,228,215,235,225,156,89,61
22729,1338,92,87,95,91,63,36,25
22730,115,8,7,8,8,5,3,2
22731,139,10,9,10,9,7,4,3
22732,191,13,12,14,13,9,5,4
22733,1469,101,95,104,100,69,40,27
22734,3187,220,207,226,217,150,86,59
22735,2277,157,148,162,155,107,61,42
22736,732,51,48,52,50,34,20,14
22737,2936,203,191,208,200,138,79,54
22738,1149,79,75,82,78,54,31,21
22740,1313,91,85,93,89,62,35,24
22741,182,13,12,13,12,9,5,3
22742,1926,133,125,137,131,91,52,36
22743,204,14,13,14,14,10,6,4
22747,1132,78,74,80,77,53,31,21
22749,349,24,23,25,24,16,9,6
22801,37989,2621,2469,2697,2583,1785,1026,703
22802,26293,1814,1709,1867,1788,1236,710,486
22807,3311,228,215,235,225,156,89,61
22810,863,60,56,61,59,41,23,16
22811,500,35,33,36,34,24,14,9
22812,8927,616,580,634,607,420,241,165
22815,8355,576,543,593,568,393,226,155
22820,214,15,14,15,15,10,6,4
22821,5753,397,374,408,391,270,155,106
22824,6018,415,391,427,409,283,162,111
22827,10388,717,675,738,706,488,280,192
22830,1773,122,115,126,121,83,48,33
22831,813,56,53,58,55,38,22,15
22832,1091,75,71,77,74,51,29,20
22834,1250,86,81,89,85,59,34,23
22835,11634,803,756,826,791,547,314,215
22840,4354,300,283,309,296,205,118,81
22841,2791,193,181,198,190,131,75,52
22842,5063,349,329,359,344,238,137,94
22843,2458,170,160,175,167,116,66,45
22844,4528,312,294,321,308,213,122,84
22845,33,2,2,2,2,2,1,1
22846,1855,128,121,132,126,87,50,34
22847,1066,74,69,76,72,50,29,20
22849,5044,348,328,358,343,237,136,93
22850,899,62,58,64,61,42,24,17
22851,5956,411,387,423,405,280,161,110
22853,4367,301,284,310,297,205,118,81
22901,32532,2245,2115,2310,2212,1529,878,602
22902,21223,1464,1379,1507,1443,997,573,393
22903,38229,2638,2485,2714,2600,1797,1032,707
22904,4633,320,301,329,315,218,125,86
22911,15971,1102,1038,1134,1086,751,431,295
22920,4186,289,272,297,285,197,113,77
22922,1993,138,130,142,136,94,54,37
22923,5035,347,327,357,342,237,136,93
22931,382,26,25,27,26,18,10,7
22932,7488,517,487,532,509,352,202,139
22935,926,64,60,66,63,44,25,17
22936,4853,335,315,345,330,228,131,90
22937,1486,103,97,106,101,70,40,27
22938,1444,100,94,103,98,68,39,27
22939,5398,372,351,383,367,254,146,100
22940,1119,77,73,79,76,53,30,21
22942,8113,560,527,576,552,381,219,150
22943,444,31,29,32,30,21,12,8
22946,244,17,16,17,17,11,7,5
22947,4198,290,273,298,285,197,113,78
22948,305,21,20,22,21,14,8,6
22949,1300,90,85,92,88,61,35,24
22952,2029,140,132,144,138,95,55,38
22958,1637,113,106,116,111,77,44,30
22959,1578,109,103,112,107,74,43,29
22960,10722,740,697,761,729,504,289,198
22963,15401,1063,1001,1093,1047,724,416,285
22964,261,18,17,19,18,12,7,5
22967,1956,135,127,139,133,92,53,36
22968,9815,677,638,697,667,461,265,182
22969,1437,99,93,102,98,68,39,27
22971,1735,120,113,123,118,82,47,32
22972,439,30,29,31,30,21,12,8
22973,6191,427,402,440,421,291,167,115
22974,5385,372,350,382,366,253,145,100
22976,339,23,22,24,23,16,9,6
22980,31451,2170,2044,2233,2139,1478,849,582
22989,112,8,7,8,8,5,3,2
23002,10439,720,679,741,710,491,282,193
23004,851,59,55,60,58,40,23,16
23005,15227,1051,990,1081,1035,716,411,282
23009,6279,433,408,446,427,295,170,116
23011,1429,99,93,101,97,67,39,26
23015,4249,293,276,302,289,200,115,79
23021,345,24,22,24,23,16,9,6
23022,930,64,60,66,63,44,25,17
23023,323,22,21,23,22,15,9,6
23024,8120,560,528,577,552,382,219,150
23025,233,16,15,17,16,11,6,4
23027,1413,97,92,100,96,66,38,26
23030,5128,354,333,364,349,241,138,95
23032,283,20,18,20,19,13,8,5
23035,1473,102,96,105,100,69,40,27
23038,1775,122,115,126,121,83,48,33
23039,1056,73,69,75,72,50,29,20
23040,4661,322,303,331,317,219,126,86
23043,1692,117,110,120,115,80,46,31
23045,96,7,6,7,7,5,3,2
23047,1952,135,127,139,133,92,53,36
23050,598,41,39,42,41,28,16,11
23055,915,63,59,65,62,43,25,17
23056,458,32,30,33,31,22,12,8
23059,31919,2202,2075,2266,2170,1500,862,591
23060,33417,2306,2172,2373,2272,1571,902,618
23061,21208,1463,1379,1506,1442,997,573,392
23062,2340,161,152,166,159,110,63,43
23063,5278,364,343,375,359,248,143,98
23064,131,9,9,9,9,6,4,2
23065,1909,132,124,136,130,90,52,35
23066,471,32,31,33,32,22,13,9
23068,257,18,17,18,17,12,7,5
23069,3197,221,208,227,217,150,86,59
23070,431,30,28,31,29,20,12,8
23071,1563,108,102,111,106,73,42,29
23072,11541,796,750,819,785,542,312,214
23075,9819,678,638,697,668,461,265,182
23076,606,42,39,43,41,28,16,11
23079,437,30,28,31,30,21,12,8
23083,1732,120,113,123,118,81,47,32
23084,1799,124,117,128,122,85,49,33
23085,364,25,24,26,25,17,10,7
23086,3247,224,211,231,221,153,88,60
23089,4914,339,319,349,334,231,133,91
23091,309,21,20,22,21,15,8,6
23092,584,40,38,41,40,27,16,11
23093,12694,876,825,901,863,597,343,235
23102,2659,183,173,189,181,125,72,49
23103,4634,320,301,329,315,218,125,86
23106,976,67,63,69,66,46,26,18
23108,161,11,10,11,11,8,4,3
23109,1821,126,118,129,124,86,49,34
23110,794,55,52,56,54,37,21,15
23111,36490,2518,2372,2591,2481,1715,985,675
23112,46982,3242,3054,3336,3195,2208,1269,869
23113,23848,1646,1550,1693,1622,1121,644,441
23114,17449,1204,1134,1239,1187,820,471,323
23115,146,10,9,10,10,7,4,3
23116,27228,1879,1770,1933,1852,1280,735,504
23117,9141,631,594,649,622,430,247,169
23119,295,20,19,21,20,14,8,5
23120,5971,412,388,424,406,281,161,110
23123,1860,128,121,132,126,87,50,34
23124,3185,220,207,226,217,150,86,59
23125,223,15,14,16,15,10,6,4
23126,534,37,35,38,36,25,14,10
23128,1045,72,68,74,71,49,28,19
23129,374,26,24,27,25,18,10,7
23130,268,18,17,19,18,13,7,5
23138,953,66,62,68,65,45,26,18
23139,24425,1685,1588,1734,1661,1148,659,452
23140,5175,357,336,367,352,243,140,96
23141,6471,446,421,459,440,304,175,120
23146,3093,213,201,220,210,145,84,57
23148,1827,126,119,130,124,86,49,34
23149,3190,220,207,226,217,150,86,59
23150,12045,831,783,855,819,566,325,223
23153,1334,92,87,95,91,63,36,25
23156,1555,107,101,110,106,73,42,29
23160,2708,187,176,192,184,127,73,50
23161,173,12,11,12,12,8,5,3
23163,220,15,14,16,15,10,6,4
23168,6115,422,397,434,416,287,165,113
23169,1325,91,86,94,90,62,36,25
23173,2820,195,183,200,192,133,76,52
23175,1907,132,124,135,130,90,51,35
23176,656,45,43,47,45,31,18,12
23177,616,43,40,44,42,29,17,11
23180,441,30,29,31,30,21,12,8
23181,5426,374,353,385,369,255,147,100
23185,46370,3200,3014,3292,3153,2179,1252,858
23187,267,18,17,19,18,13,7,5
23188,38733,2673,2518,2750,2634,1820,1046,717
23192,7067,488,459,502,481,332,191,131
23219,3781,261,246,268,257,178,102,70
23220,35545,2453,2310,2524,2417,1671,960,658
23221,13680,944,889,971,930,643,369,253
23222,24563,1695,1597,1744,1670,1154,663,454
23223,47677,3290,3099,3385,3242,2241,1287,882
23224,33461,2309,2175,2376,2275,1573,903,619
23225,39169,2703,2546,2781,2663,1841,1058,725
23226,15805,1091,1027,1122,1075,743,427,292
23227,24440,1686,1589,1735,1662,1149,660,452
23228,34198,2360,2223,2428,2325,1607,923,633
23229,32283,2228,2098,2292,2195,1517,872,597
23230,5852,404,380,415,398,275,158,108
23231,34685,2393,2255,2463,2359,1630,936,642
23233,28908,1995,1879,2052,1966,1359,781,535
23234,42989,2966,2794,3052,2923,2020,1161,795
23235,30165,2081,1961,2142,2051,1418,814,558
23236,25822,1782,1678,1833,1756,1214,697,478
23237,21192,1462,1377,1505,1441,996,572,392
23238,25134,1734,1634,1785,1709,1181,679,465
23250,0,0,0,0,0,0,0,0
23294,17558,1212,1141,1247,1194,825,474,325
23301,1831,126,119,130,125,86,49,34
23302,155,11,10,11,11,7,4,3
23303,741,51,48,53,50,35,20,14
23304,71,5,5,5,5,3,2,1
23306,1088,75,71,77,74,51,29,20
23307,769,53,50,55,52,36,21,14
23308,2106,145,137,150,143,99,57,39
23310,4736,327,308,336,322,223,128,88
23313,78,5,5,6,5,4,2,1
23314,6991,482,454,496,475,329,189,129
23315,1525,105,99,108,104,72,41,28
23316,342,24,22,24,23,16,9,6
23320,51797,3574,3367,3678,3522,2434,1399,958
23321,33653,2322,2187,2389,2288,1582,909,623
23322,60473,4173,3931,4294,4112,2842,1633,1119
23323,35906,2478,2334,2549,2442,1688,969,664
23324,22851,1577,1485,1622,1554,1074,617,423
23325,17592,1214,1143,1249,1196,827,475,325
23336,2941,203,191,209,200,138,79,54
23337,377,26,25,27,26,18,10,7
23347,671,46,44,48,46,32,18,12
23350,3403,235,221,242,231,160,92,63
23354,207,14,13,15,14,10,6,4
23356,1246,86,81,88,85,59,34,23
23357,776,54,50,55,53,36,21,14
23358,152,10,10,11,10,7,4,3
23359,776,54,50,55,53,36,21,14
23389,137,9,9,10,9,6,4,3
23395,645,45,42,46,44,30,17,12
23398,153,11,10,11,10,7,4,3
23401,212,15,14,15,14,10,6,4
23405,973,67,63,69,66,46,26,18
23407,411,28,27,29,28,19,11,8
23408,77,5,5,5,5,4,2,1
23409,84,6,5,6,6,4,2,2
23410,2015,139,131,143,137,95,54,37
23413,840,58,55,60,57,39,23,16
23414,100,7,7,7,7,5,3,2
23415,1893,131,123,134,129,89,51,35
23416,356,25,23,25,24,17,10,7
23417,4047,279,263,287,275,190,109,75
23418,863,60,56,61,59,41,23,16
23420,2376,164,154,169,162,112,64,44
23421,4255,294,277,302,289,200,115,79
23422,278,19,18,20,19,13,8,5
23423,344,24,22,24,23,16,9,6
23426,225,16,15,16,15,11,6,4
23427,243,17,16,17,17,11,7,4
23430,17281,1192,1123,1227,1175,812,467,320
23432,1538,106,100,109,105,72,42,28
23433,1218,84,79,86,83,57,33,23
23434,47670,3289,3099,3385,3242,2240,1287,882
23435,27053,1867,1758,1921,1840,1271,730,500
23436,942,65,61,67,64,44,25,17
23437,4283,296,278,304,291,201,116,79
23438,1818,125,118,129,124,85,49,34
23440,727,50,47,52,49,34,20,13
23441,171,12,11,12,12,8,5,3
23442,1059,73,69,75,72,50,29,20
23451,41544,2867,2700,2950,2825,1953,1122,769
23452,59321,4093,3856,4212,4034,2788,1602,1097
23453,35960,2481,2337,2553,2445,1690,971,665
23454,60283,4160,3918,4280,4099,2833,1628,1115
23455,47938,3308,3116,3404,3260,2253,1294,887
23456,51748,3571,3364,3674,3519,2432,1397,957
23457,4289,296,279,305,292,202,116,79
23459,1091,75,71,77,74,51,29,20
23460,1201,83,78,85,82,56,32,22
23461,287,20,19,20,20,13,8,5
23462,61973,4276,4028,4400,4214,2913,1673,1147
23464,72359,4993,4703,5137,4920,3401,1954,1339
23480,328,23,21,23,22,15,9,6
23486,140,10,9,10,10,7,4,3
23487,6298,435,409,447,428,296,170,117
23488,201,14,13,14,14,9,5,4
23502,20678,1427,1344,1468,1406,972,558,383
23503,30856,2129,2006,2191,2098,1450,833,571
23504,23483,1620,1526,1667,1597,1104,634,434
23505,28503,1967,1853,2024,1938,1340,770,527
23507,25818,1781,1678,1833,1756,1213,697,478
23508,20263,1398,1317,1439,1378,952,547,375
23509,12817,884,833,910,872,602,346,237
23510,7031,485,457,499,478,330,190,130
23511,2457,170,160,174,167,115,66,45
23513,29595,2042,1924,2101,2012,1391,799,548
23517,4484,309,291,318,305,211,121,83
23518,28095,1939,1826,1995,1910,1320,759,520
23523,7793,538,507,553,530,366,210,144
23551,930,64,60,66,63,44,25,17
23601,25127,1734,1633,1784,1709,1181,678,465
23602,39676,2738,2579,2817,2698,1865,1071,734
23603,3899,269,253,277,265,183,105,72
23604,5720,395,372,406,389,269,154,106
23605,13854,956,901,984,942,651,374,256
23606,29283,2021,1903,2079,1991,1376,791,542
23607,24519,1692,1594,1741,1667,1152,662,454
23608,42917,2961,2790,3047,2918,2017,1159,794
23651,696,48,45,49,47,33,19,13
23661,14113,974,917,1002,960,663,381,261
23662,12150,838,790,863,826,571,328,225
23663,14495,1000,942,1029,986,681,391,268
23664,10194,703,663,724,693,479,275,189
23665,5120,353,333,364,348,241,138,95
23666,49825,3438,3239,3538,3388,2342,1345,922
23669,43148,2977,2805,3064,2934,2028,1165,798
23690,3032,209,197,215,206,143,82,56
23691,127,9,8,9,9,6,3,2
23692,18846,1300,1225,1338,1282,886,509,349
23693,23292,1607,1514,1654,1584,1095,629,431
23696,3669,253,238,260,249,172,99,68
23701,25161,1736,1635,1786,1711,1183,679,465
23702,11424,788,743,811,777,537,308,211
23703,25739,1776,1673,1827,1750,1210,695,476
23704,18716,1291,1217,1329,1273,880,505,346
23707,14236,982,925,1011,968,669,384,263
23708,181,12,12,13,12,9,5,3
23709,78,5,5,6,5,4,2,1
23801,3393,234,221,241,231,159,92,63
23803,40542,2797,2635,2878,2757,1905,1095,750
23805,19490,1345,1267,1384,1325,916,526,361
23806,2251,155,146,160,153,106,61,42
23821,1597,110,104,113,109,75,43,30
23824,7214,498,469,512,491,339,195,133
23827,1443,100,94,102,98,68,39,27
23828,395,27,26,28,27,19,11,7
23829,2622,181,170,186,178,123,71,49
23830,1491,103,97,106,101,70,40,28
23831,33079,2282,2150,2349,2249,1555,893,612
23832,33739,2328,2193,2395,2294,1586,911,624
23833,2297,158,149,163,156,108,62,42
23834,25612,1767,1665,1818,1742,1204,692,474
23836,11444,790,744,813,778,538,309,212
23837,4298,297,279,305,292,202,116,80
23838,15341,1059,997,1089,1043,721,414,284
23839,741,51,48,53,50,35,20,14
23840,1858,128,121,132,126,87,50,34
23841,3479,240,226,247,237,164,94,64
23842,6906,477,449,490,470,325,186,128
23843,654,45,43,46,44,31,18,12
23844,788,54,51,56,54,37,21,15
23845,356,25,23,25,24,17,10,7
23846,933,64,61,66,63,44,25,17
23847,16962,1170,1103,1204,1153,797,458,314
23850,1051,73,68,75,71,49,28,19
23851,13715,946,891,974,933,645,370,254
23856,1033,71,67,73,70,49,28,19
23857,525,36,34,37,36,25,14,10
23860,31970,2206,2078,2270,2174,1503,863,591
23866,2237,154,145,159,152,105,60,41
23867,2189,151,142,155,149,103,59,40
23868,7367,508,479,523,501,346,199,136
23872,2376,164,154,169,162,112,64,44
23874,1004,69,65,71,68,47,27,19
23875,10878,751,707,772,740,511,294,201
23876,456,31,30,32,31,21,12,8
23878,1118,77,73,79,76,53,30,21
23879,679,47,44,48,46,32,18,13
23881,2176,150,141,154,148,102,59,40
23882,2516,174,164,179,171,118,68,47
23883,2551,176,166,181,173,120,69,47
23884,93,6,6,7,6,4,3,2
23885,2807,194,182,199,191,132,76,52
23887,574,40,37,41,39,27,15,11
23888,2275,157,148,162,155,107,61,42
23889,581,40,38,41,40,27,16,11
23890,4249,293,276,302,289,200,115,79
23891,2358,163,153,167,160,111,64,44
23893,454,31,30,32,31,21,12,8
23894,673,46,44,48,46,32,18,12
23897,595,41,39,42,40,28,16,11
23898,2223,153,144,158,151,104,60,41
23899,351,24,23,25,24,16,9,6
23901,16399,1132,1066,1164,1115,771,443,303
23909,2027,140,132,144,138,95,55,37
23915,1220,84,79,87,83,57,33,23
23917,3684,254,239,262,251,173,99,68
23919,2666,184,173,189,181,125,72,49
23920,3489,241,227,248,237,164,94,65
23921,1991,137,129,141,135,94,54,37
23922,3785,261,246,269,257,178,102,70
23923,2592,179,168,184,176,122,70,48
23924,6232,430,405,442,424,293,168,115
23927,4381,302,285,311,298,206,118,81
23930,5690,393,370,404,387,267,154,105
23934,681,47,44,48,46,32,18,13
23936,8212,567,534,583,558,386,222,152
23937,1970,136,128,140,134,93,53,36
23938,407,28,26,29,28,19,11,8
23942,1112,77,72,79,76,52,30,21
23943,225,16,15,16,15,11,6,4
23944,4261,294,277,303,290,200,115,79
23947,4293,296,279,305,292,202,116,79
23950,3348,231,218,238,228,157,90,62
23952,217,15,14,15,15,10,6,4
23954,2017,139,131,143,137,95,54,37
23958,3170,219,206,225,216,149,86,59
23959,1264,87,82,90,86,59,34,23
23960,1990,137,129,141,135,94,54,37
23962,670,46,44,48,46,31,18,12
23963,587,41,38,42,40,28,16,11
23964,1138,79,74,81,77,53,31,21
23966,2337,161,152,166,159,110,63,43
23967,1118,77,73,79,76,53,30,21
23968,837,58,54,59,57,39,23,15
23970,8254,570,537,586,561,388,223,153
23974,5012,346,326,356,341,236,135,93
23976,230,16,15,16,16,11,6,4
24011,219,15,14,16,15,10,6,4
24012,29015,2002,1886,2060,1973,1364,783,537
24013,8684,599,564,617,591,408,234,161
24014,16570,1143,1077,1176,1127,779,447,307
24015,15255,1053,992,1083,1037,717,412,282
24016,9047,624,588,642,615,425,244,167
24017,23392,1614,1520,1661,1591,1099,632,433
24018,36432,2514,2368,2587,2477,1712,984,674
24019,26502,1829,1723,1882,1802,1246,716,490
24020,455,31,30,32,31,21,12,8
24053,2715,187,176,193,185,128,73,50
24054,6797,469,442,483,462,319,184,126
24055,13674,944,889,971,930,643,369,253
24058,324,22,21,23,22,15,9,6
24059,872,60,57,62,59,41,24,16
24060,53311,3678,3465,3785,3625,2506,1439,986
24064,4963,342,323,352,337,233,134,92
24065,6141,424,399,436,418,289,166,114
24066,4883,337,317,347,332,230,132,90
24067,2230,154,145,158,152,105,60,41
24069,1879,130,122,133,128,88,51,35
24070,1363,94,89,97,93,64,37,25
24072,1298,90,84,92,88,61,35,24
24073,29793,2056,1937,2115,2026,1400,804,551
24076,972,67,63,69,66,46,26,18
24077,932,64,61,66,63,44,25,17
24078,7115,491,462,505,484,334,192,132
24079,1766,122,115,125,120,83,48,33
24082,419,29,27,30,28,20,11,8
24083,2587,179,168,184,176,122,70,48
24084,11304,780,735,803,769,531,305,209
24085,2182,151,142,155,148,103,59,40
24086,210,14,14,15,14,10,6,4
24087,3914,270,254,278,266,184,106,72
24088,5408,373,352,384,368,254,146,100
24089,2640,182,172,187,180,124,71,49
24090,4781,330,311,339,325,225,129,88
24091,7215,498,469,512,491,339,195,133
24092,3063,211,199,217,208,144,83,57
24093,192,13,12,14,13,9,5,4
24095,4677,323,304,332,318,220,126,87
24101,6132,423,399,435,417,288,166,113
24102,1697,117,110,120,115,80,46,31
24104,3469,239,225,246,236,163,94,64
24105,500,35,33,36,34,24,14,9
24112,32646,2253,2122,2318,2220,1534,881,604
24120,1860,128,121,132,126,87,50,34
24121,10501,725,683,746,714,494,284,194
24122,1683,116,109,119,114,79,45,31
24124,4352,300,283,309,296,205,118,81
24127,4261,294,277,303,290,200,115,79
24128,1872,129,122,133,127,88,51,35
24130,8,1,1,1,1,0,0,0
24131,140,10,9,10,10,7,4,3
24132,460,32,30,33,31,22,12,9
24133,2626,181,171,186,179,123,71,49
24134,5741,396,373,408,390,270,155,106
24136,3393,234,221,241,231,159,92,63
24137,2582,178,168,183,176,121,70,48
24138,1613,111,105,115,110,76,44,30
24139,575,40,37,41,39,27,16,11
24141,20668,1426,1343,1467,1405,971,558,382
24142,2470,170,161,175,168,116,67,46
24147,1201,83,78,85,82,56,32,22
24148,8013,553,521,569,545,377,216,148
24149,3339,230,217,237,227,157,90,62
24150,693,48,45,49,47,33,19,13
24151,20000,1380,1300,1420,1360,940,540,370
24153,37761,2606,2454,2681,2568,1775,1020,699
24161,471,32,31,33,32,22,13,9
24162,2421,167,157,172,165,114,65,45
24165,1613,111,105,115,110,76,44,30
24167,345,24,22,24,23,16,9,6
24168,187,13,12,13,13,9,5,3
24171,8250,569,536,586,561,388,223,153
24174,2539,175,165,180,173,119,69,47
24175,8818,608,573,626,600,414,238,163
24176,1360,94,88,97,92,64,37,25
24179,18616,1285,1210,1322,1266,875,503,344
24184,4705,325,306,334,320,221,127,87
24185,854,59,56,61,58,40,23,16
24201,17116,1181,1113,1215,1164,804,462,317
24202,12905,890,839,916,878,607,348,239
24210,16840,1162,1095,1196,1145,791,455,312
24211,9922,685,645,704,675,466,268,184
24216,2939,203,191,209,200,138,79,54
24217,406,28,26,29,28,19,11,8
24219,11265,777,732,800,766,529,304,208
24220,895,62,58,64,61,42,24,17
24221,938,65,61,67,64,44,25,17
24224,6734,465,438,478,458,316,182,125
24225,1697,117,110,120,115,80,46,31
24226,1433,99,93,102,97,67,39,27
24228,7016,484,456,498,477,330,189,130
24230,9597,662,624,681,653,451,259,178
24236,3085,213,201,219,210,145,83,57
24237,1192,82,77,85,81,56,32,22
24239,113,8,7,8,8,5,3,2
24243,2222,153,144,158,151,104,60,41
24244,5723,395,372,406,389,269,155,106
24245,1129,78,73,80,77,53,30,21
24246,455,31,30,32,31,21,12,8
24248,2596,179,169,184,177,122,70,48
24250,1319,91,86,94,90,62,36,24
24251,8773,605,570,623,597,412,237,162
24256,3491,241,227,248,237,164,94,65
24258,1624,112,106,115,110,76,44,30
24260,5734,396,373,407,390,269,155,106
24263,7950,549,517,564,541,374,215,147
24265,930,64,60,66,63,44,25,17
24266,9521,657,619,676,647,447,257,176
24269,324,22,21,23,22,15,9,6
24270,582,40,38,41,40,27,16,11
24271,2689,186,175,191,183,126,73,50
24272,527,36,34,37,36,25,14,10
24273,6262,432,407,445,426,294,169,116
24277,5849,404,380,415,398,275,158,108
24279,5541,382,360,393,377,260,150,103
24280,823,57,53,58,56,39,22,15
24281,2487,172,162,177,169,117,67,46
24282,727,50,47,52,49,34,20,13
24283,2171,150,141,154,148,102,59,40
24290,1874,129,122,133,127,88,51,35
24292,535,37,35,38,36,25,14,10
24293,10791,745,701,766,734,507,291,200
24301,14366,991,934,1020,977,675,388,266
